symbol,mean
A,1.2603444418982181
AAL,0.9107091475098327
AAP,1.2065549058022467
AAPL,1.4890022178704847
ABBV,1.09074059331014
ABC,1.1015024399395852
ABMD,1.5369341437473838
ABT,1.194073035992459
ACN,1.218800100240441
ADBE,1.3147896644803987
ADI,1.1324595075642763
ADM,1.1949259074961869
ADP,1.0104462294944223
ADSK,1.304833932372535
AEE,1.0428043597807597
AEP,0.9701099487766272
AES,1.2654446782360802
AFL,0.9867090166301218
AIG,1.0097054987116825
AIZ,1.102601536150265
AJG,1.1757887349182938
AKAM,1.1056262441963098
ALB,1.41651284896893
ALGN,1.5944444015863974
ALK,1.0784838609986622
ALL,0.9453846319895575
ALLE,0.9811002579761054
ALXN,1.148350513365466
AMAT,1.2037938382942581
AMCR,1.1798265569914985
AMD,1.5481599037523546
AME,1.2056175616004157
AMGN,1.0649486736542657
AMP,1.2341906553575528
AMT,1.0149324313380736
AMZN,1.4353669540419793
ANET,1.1059427238210846
ANSS,1.2220777496349264
ANTM,1.0696330610697287
AON,1.0401450906739025
AOS,1.2063027631952479
APA,1.0411348609753375
APD,1.2322849409483194
APH,1.238273647980002
APTV,1.3517936823750938
ARE,1.0719154399783324
ATO,0.9370633563909074
ATVI,1.243477253442371
AVB,0.8983564605395029
AVGO,1.2854598491779468
AVY,1.1332267693514215
AWK,1.1533773199170296
AXP,1.0413579990945063
AZO,1.121473048674318
BA,0.9801693115361256
BAC,1.0037181042606889
BAX,0.9454552202315148
BBY,1.3903044289251092
BDX,0.9792692385599086
BEN,1.0605848739099837
BIIB,0.8978438230128287
BIO,1.3037746496337583
BK,0.9710125511342474
BKNG,1.1381803187084074
BKR,1.0351045226868172
BLK,1.2232800923058367
BLL,1.2189534262389399
BMY,1.0080340524735327
BR,1.2044444031848358
BSX,1.0107116856052278
BWA,1.266578565574402
BXP,0.8507521286186712
C,0.9329160941458287
CAG,1.1420999717606337
CAH,0.9998678056717444
CARR,1.904750186956711
CAT,1.2566925914438805
CB,1.045626140722762
CBOE,0.864377303742195
CBRE,1.0812621847350599
CCI,1.0519919528901578
CCL,0.9050610244418252
CDNS,1.4239095824249548
CDW,1.0773059623872563
CE,1.2591200592027438
CERN,1.0395908065618145
CF,1.0329039174468713
CFG,1.1167877770769314
CHD,1.2311474377785163
CHRW,1.2734908465033412
CHTR,1.2181950265342762
CI,0.9775614714329313
CINF,1.0106672012151796
